player1_name,player1_age,player1_ranking,player1_points,player1_win_rate,player1_win_rate_3_sets,player1_win_rate_tiebreak,player1_total_matches_dure,player1_win_rate_dure,player1_total_matches_terre battue,player1_win_rate_terre battue,player1_total_matches_gazon,player1_win_rate_gazon,player1_total_matches_salle,player1_win_rate_salle,player1_total_matches_carpet,player1_win_rate_carpet,player1_total_matches_acryl,player1_win_rate_acryl,player1_avg_first_serve_pct,player1_avg_first_serve_won_pct,player1_avg_second_serve_won_pct,player1_avg_return_points_won_pct,player1_avg_break_point_won_pct,player1_avg_double_fautes,player1_avg_aces
Fabio Fognini,37,91,637,0.5227272727272727,0.5909090909090909,0.5,8,0.375,26,0.5769230769230769,5,0.6,5,0.4,0,0,0,0,0.581428984668788,0.6975124378109453,0.4727021423635107,0.38031057720480516,0.44805194805194803,4.659090909090909,3.522727272727273
Federico Coria,32,100,617,0.5510204081632653,0.4166666666666667,0.6153846153846154,2,0.0,46,0.5869565217391305,1,0.0,0,0.0,0,0,0,0,0.6692139737991266,0.6141924959216966,0.48102310231023104,0.44441348565059907,0.463768115942029,2.4583333333333335,1.8958333333333333
Yoshihito Nishioka,29,69,776,0.5510204081632653,0.42105263157894735,0.7142857142857143,30,0.6,12,0.3333333333333333,7,0.7142857142857143,0,0.0,0,0,0,0,0.6343506882106523,0.6735849056603773,0.5613747954173486,0.36407620199576657,0.37542662116040953,1.2222222222222223,2.7111111111111112
Emil Ruusuvuori,25,95,628,0.5102040816326531,0.5238095238095238,0.75,17,0.5882352941176471,8,0.25,6,0.5,18,0.5555555555555556,0,0,0,0,0.6333668847508808,0.7004370282081843,0.5512732278045424,0.3665651953323186,0.36333333333333334,2.25,4.833333333333333
Dominik Koepfer,30,102,610,0.5510204081632653,0.6,0.4375,16,0.625,15,0.4,4,0.5,14,0.6428571428571429,0,0,0,0,0.6227511763077774,0.7017777777777777,0.529757531227039,0.3665146230211967,0.3662420382165605,3.0833333333333335,4.354166666666667
Nuno Borges,27,36,1355,0.5714285714285714,0.6818181818181818,0.6,23,0.6521739130434783,20,0.65,3,0.0,3,0.0,0,0,0,0,0.6107644305772231,0.7041294167730949,0.4983299933199733,0.39297365119196986,0.4044943820224719,3.0,4.8979591836734695
Camilo Ugo Carabelli,25,97,624,0.6170212765957447,0.6153846153846154,0.5,5,0.4,41,0.6585365853658537,1,0.0,0,0.0,0,0,0,0,0.6203534430225472,0.6547151277013753,0.4695024077046549,0.43541732783243414,0.48703170028818443,2.347826086956522,2.4782608695652173
James Duckworth,32,82,687,0.5714285714285714,0.47368421052631576,0.7619047619047619,26,0.6153846153846154,1,0.0,15,0.6666666666666666,7,0.2857142857142857,0,0,0,0,0.580042689434365,0.7589696412143514,0.5495552731893265,0.3431578947368421,0.3776824034334764,2.693877551020408,7.551020408163265
Alejandro Davidovich Fokina,25,61,845,0.46938775510204084,0.4782608695652174,0.391304347826087,28,0.5,8,0.375,1,0.0,12,0.5,0,0,0,0,0.6717262670439927,0.6801991574109536,0.5188087774294671,0.3733715476810839,0.4171974522292994,2.25,4.979166666666667
Jan-Lennard Struff,34,42,1240,0.5714285714285714,0.5,0.85,9,0.2222222222222222,21,0.7142857142857143,9,0.6666666666666666,10,0.5,0,0,0,0,0.5794369029663148,0.7778741865509762,0.511655708308428,0.3701762744163888,0.32941176470588235,4.361702127659575,9.382978723404255
